"SPCD","COMMON_NAME","GENUS","SPECIES","VARIETY","SUBSPECIES","SPECIES_SYMBOL","E_SPGRPCD","W_SPGRPCD","C_SPGRPCD","P_SPGRPCD","MAJOR_SPGRPCD","STOCKING_SPGRPCD","FOREST_TYPE_SPGRPCD","EXISTS_IN_NCRS","EXISTS_IN_NERS","EXISTS_IN_PNWRS","EXISTS_IN_RMRS","EXISTS_IN_SRS","SITETREE","SFTWD_HRDWD","ST_EXISTS_IN_NCRS","ST_EXISTS_IN_NERS","ST_EXISTS_IN_PNWRS","ST_EXISTS_IN_RMRS","ST_EXISTS_IN_SRS","CORE","EAST","WEST","CARIBBEAN","PACIFIC","WOODLAND","MANUAL_START","MANUAL_END","JENKINS_SPGRPCD","JENKINS_TOTAL_B1","JENKINS_TOTAL_B2","JENKINS_STEM_WOOD_RATIO_B1","JENKINS_STEM_WOOD_RATIO_B2","JENKINS_STEM_BARK_RATIO_B1","JENKINS_STEM_BARK_RATIO_B2","JENKINS_FOLIAGE_RATIO_B1","JENKINS_FOLIAGE_RATIO_B2","JENKINS_ROOT_RATIO_B1","JENKINS_ROOT_RATIO_B2","JENKINS_SAPLING_ADJUSTMENT","WOOD_SPGR_GREENVOL_DRYWT","WOOD_SPGR_GREENVOL_DRYWT_CIT","BARK_SPGR_GREENVOL_DRYWT","BARK_SPGR_GREENVOL_DRYWT_CIT","MC_PCT_GREEN_BARK","MC_PCT_GREEN_BARK_CIT","MC_PCT_GREEN_WOOD","MC_PCT_GREEN_WOOD_CIT","WOOD_SPGR_MC12VOL_DRYWT","WOOD_SPGR_MC12VOL_DRYWT_CIT","BARK_VOL_PCT","BARK_VOL_PCT_CIT","RAILE_STUMP_DOB_B1","RAILE_STUMP_DIB_B1","RAILE_STUMP_DIB_B2","CWD_DECAY_RATIO1","CWD_DECAY_RATIO2","CWD_DECAY_RATIO3","CWD_DECAY_RATIO4","CWD_DECAY_RATIO5","DWM_CARBON_RATIO","STANDING_DEAD_DECAY_RATIO1","STANDING_DEAD_DECAY_RATIO2","STANDING_DEAD_DECAY_RATIO3","STANDING_DEAD_DECAY_RATIO4","STANDING_DEAD_DECAY_RATIO5","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
132,"Virginia pine","Pinus","virginiana","","","PIVI2",3,24,,,1,4,54,"X","X","","","X","X","S","","X","","","X","Y","E","","","","",1.7,,4,-2.5356,2.4349,-.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,.6614,1.01056,.45,1,.54,4,89.92593,22,78.06667,22,.48,1,13.4,21,.08091,.90698,.08469,1,.84,.71,.45,.45,.521,.953,.95,.927,.598,.598,"",2005-02-24,"333","",2011-08-24,"10945"
8241,"cape cheesewood","Pittosporum","viridiflorum","","","PIVI5",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
137,"Washoe pine","Pinus","washoensis","","","PIWA",9,24,,,1,10,40,"","","X","X","","","S","","","X","X","","Y","","W","","","",1.7,,4,-2.5356,2.4349,-.3737,-1.8055,-2.098,-1.1432,-2.9584,4.4766,-1.5619,.6614,.45789,.43,24,.4,24,68.38,24,76.13,24,.47,24,16.13,24,.08091,.90698,.08469,1,.84,.71,.45,.45,.521,.955,.95,.934,.596,.596,"",2005-02-24,"333","",2011-08-24,"10945"
8218,"Kauai catchbirdtree","Pisonia","wagneriana","","","PIWA2",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
8266,"nosegaytree","Plumeria","alba","","","PLAL",54,54,54,,3,37,984,"","","","","X","","H","","","","","","N","","","C","","",5,,8,-2.48,2.4835,-.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,.816,.84031,.52,26,.53,26,80.49,26,75.13,26,.58,26,15.16,26,.12766,.91979,.12152,1,.78,.45,.42,.42,.491,.987,.837,.685,.539,.539,"",2010-09-22,"10854","",2010-09-24,"10854"
8247,"Planchonella","Planchonella","spp.","","","PLANC",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
722,"water-elm, planertree","Planera","aquatica","","","PLAQ",43,47,,,3,33,151,"X","","","","X","","H","","","","","","Y","E","","","","",1.7,,8,-2.48,2.4835,-.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,.816,.84031,.52,26,.53,26,80.49,26,75.13,26,.58,26,15.16,26,.12766,.91979,.12152,1,.78,.45,.42,.42,.491,.982,.793,.618,.525,.525,"",2005-02-24,"333","",2011-08-24,"10945"
729,"sycamore spp.","Platanus","spp.","","","PLATA",41,47,,,3,36,221,"X","X","X","","X","","H","","","","","","N","E","W","","","",2,,8,-2.48,2.4835,-.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,.816,.79248,.46,25,.6,25,84,25,81,25,.49,25,8,25,.12766,.91979,.12152,1,.78,.45,.42,.42,.491,.982,.793,.618,.525,.525,"",2005-02-24,"333","",2010-08-05,"440"
8252,"platydesma","Platydesma","spp.","","","PLATY",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
8257,"golden hala pepe","Pleomele","aurea","","","PLAU2",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
8258,"Maui hala pepe","Pleomele","auwahiensis","","","PLAU5",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
8263,"hala pepe","Pleomele","spp.","","","PLEOM",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
8259,"Lanai hala pepe","Pleomele","fernaldii","","","PLFE",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
8260,"Waianae Range hala pepe","Pleomele","forbesii","","","PLFO2",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
8242,"alaa","Planchonella","garberi","","","PLGA2",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
8243,"alaa","Planchonella","grayana","","","PLGR11",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
8261,"royal hala pepe","Pleomele","halapepe","","","PLHA3",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
8262,"Hawaii hala pepe","Pleomele","hawaiiensis","","","PLHA4",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
8244,"alaa","Planchonella","linggensis","","","PLLI6",54,54,,54,3,,,"","","X","","","","H","","","","","","N","","","","P","",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",2012-10-29,"440","",,""
